Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Archeria traversii,-0.118307060917901,0.1207778475608683,-0.5694804970008984,0.404807765589314,-0.2743339155772799,-0.5904852318126143,-0.1750211105657705,0.1887920835145033,0.5486275948919218,-0.2244845728726917,-0.1721389881345269,0.70501185015189,0.259680946678572,-0.3279185037269494
Aristotelia serrata,-0.0672815450920079,-0.0651926417357074,-0.7562741201103655,0.3141645131262496,-0.34368677903205,-0.6290787138051275,0.0210035119240254,-0.0049902856550179,0.7225400444328378,-0.4899818057301516,-0.405413743031319,0.7115476507919699,0.3162451176320736,-0.5325547854197368
Beilschmiedia tawa,0.0623489972003976,0.0058662098627185,-0.7134037994179834,0.466399564883623,-0.7005751004849052,-0.5080725114804588,-0.0583723035083032,-0.0028052110138837,0.7550294498681803,-0.2064113001453124,-0.4015893100349233,0.3810567737246159,0.5373308191405278,-0.4756075618852967
Brachyglottis repanda,-0.0037905491521313,-0.0346780024805373,0.0733350399725228,-0.145477088299113,0.0227336682535189,-0.3124740455743214,-0.4193686405860794,0.2397474053289709,-0.0114182186169751,-0.0526285218479763,0.3070939953901174,0.2815045978439725,0.1850708212586765,-0.1127057567766926
Carpodetus serratus,0.0886132271625014,-0.0072143046199616,-0.7176808447570249,0.241088763013404,-0.3796628578281276,-0.5995338381917977,0.158851835629245,-0.058351899322602,0.8392244466931855,-0.2593701271194256,-0.456269612242897,0.611839374944539,0.4298528717382224,-0.4662772462401525
Coprosma autumnalis,0.1027008721743876,-0.1380518328433077,-0.3666375245177707,-0.0161542349986585,-0.1072988998365811,-0.264953694902116,-0.0556548402287188,0.075089460056442,0.1619553312810134,-0.592547588940642,-0.2168246636880668,0.3198829788637217,0.0878113589640065,-0.315926749212681
Coprosma ciliata,0.0695017116909331,-0.0617423343268131,-0.1896700983185715,0.4644453458737514,-0.0386197154931277,-0.0094661663715545,-0.0221853360606299,-0.0163440886374164,-0.0566415440518469,-0.4311353846474235,0.1779169469008135,0.1204132583415096,-0.1927352977138929,-0.0479050134900158
Coprosma dumosa,0.0873184694546349,-0.101470215670144,-0.5621753542671017,0.1730567977845694,-0.3607530641111026,-0.4468160903067997,-0.134893853357488,0.128443647554727,0.5066111037227856,-0.3672190905864422,-0.0528023800227349,0.4264029866953885,0.4802273541947153,-0.205732360539272
Coprosma foetidissima,-0.1327595786887186,0.0442024441746891,0.1806560314143731,0.3146615027720487,0.0038845175538814,-0.0805056862214573,0.0035862301527307,-0.1117902425431783,0.0875387048074678,0.3923080449137036,-0.125472145834589,0.0633587652572495,0.1304114006058578,-0.1388242350967344
Coprosma linariifolia,-0.0560627064835237,-0.1152475214511882,-0.3466559741860776,0.6381424821527955,-0.4663725047615005,-0.4439904738198152,-0.0980797099460252,-0.1328404406886579,0.4698011749436718,0.0608653982896147,-0.3572403689338154,0.6096688581994157,0.1520992381573407,-0.5823845076441845
Coprosma lucida,-0.0167781040839019,-0.0656215180263426,0.4520801215318309,-0.177415060969003,0.2904289274980575,0.4674649414538104,-0.0280655454006173,0.0163904244870373,-0.599493021677297,0.067937421628584,0.8159001408030923,-0.5673381236404502,-0.4464583761194506,0.3935261461610204
Coprosma parviflora,0.1850944871259792,0.1193345204950447,0.2678403132171035,-0.5247400777608251,0.4296185629481201,0.307383790897264,0.0509754681087123,-0.2076260811213431,-0.3566740393762773,-0.0159775780732992,0.2545464276012401,-0.3874463622740723,-0.2815319371415841,0.5330043684190772
Coprosma pseudocuneata,-0.0755780039007273,0.0681606118983671,-0.1829331998658764,0.2521937954608301,-0.5043317121723072,-0.2380346696708794,-0.1590859982074922,0.2262906645885406,0.2152878483488849,-0.0729815428039799,-0.0680357383182246,0.2961380617225552,0.1917178414565492,-0.1107447984389485
Coprosma robusta,0.0423098213929608,-0.1705959203204218,-0.4609479877973211,-0.3970709966072167,0.1263437593562529,0.1533926015407216,0.3904289913407625,-0.0442408543509625,0.0319366986112997,-0.7674699773191338,0.0474964601584755,-0.0995251239055944,-0.1546279011508217,0.1116793615997188
Cyathea cunninghamii,-0.0271876065459168,-0.0213248952294491,-0.7230416106733215,0.2088830718290833,-0.2468300676341508,-0.2006501774881094,0.2801203399688113,-0.0560095732432529,0.4906862182052986,-0.6188206490248825,-0.5378156982805368,0.2665988231439737,0.156707364596037,-0.2067705890674898
Cyathea dealbata,0.1352488384362118,-0.1861394055244755,-0.2354937947943017,0.0588603222020332,-0.0203613599636725,0.0161829940103736,0.1875071831831016,-0.0897559998636087,0.1560585110093832,-0.2227322300760414,-0.251238101286813,0.1375839729296167,-0.0326984759952885,-0.1283550804666631
Cyathea smithii,0.0167073873447034,-0.1306922821632992,-0.5053374696126386,0.1609213577624893,-0.2281639137225035,-0.1800920756011291,0.0982775852195126,-0.0519909251043972,0.391896637161539,-0.3718800956734536,-0.3856515201938186,0.3055419179307476,0.2669926223348337,-0.2560302150059454
Dacrydium cupressinum,-0.0779351947327177,-0.1611863708696859,-0.4657854923785211,0.318352662513269,-0.2869151420125081,-0.0802309545994959,0.4060349360638013,-0.0587394272446955,0.3462097973329154,-0.2970424211898989,-0.4339323905199196,0.2097640203502383,0.0547878556415976,-0.246081850561529
Dicksonia squarrosa,0.0266456195612185,-0.0541850588349643,-0.7309761112249318,0.2656146569064875,-0.4504794212111112,-0.5359451624336866,0.0153325169763372,0.0968703618564659,0.6682437820871854,-0.4410443694083407,-0.5207626473733457,0.5187428711446332,0.3215342075564565,-0.4181833413682387
Dracophyllum longifolium,0.0271140338177261,-0.0345297885446152,-0.7564422332668688,0.4001216427017697,-0.3526545505052517,-0.6980406788428533,-0.1726089791622979,0.0885569069143038,0.755003777506076,-0.282302926524115,-0.2730055535056557,0.6292037477004362,0.3287881033540407,-0.3234931386565468
