Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Archeria traversii,-0.1210396711634772,0.165249334586939,-0.3883378913529888,0.4813203513047863,-0.1827198916218523,-0.2409234826345538,0.286151737409866,0.0544077986073712,0.3246488341882512,-0.3015807746660827,-0.2049380400794876,0.4768863746684618,-0.0493553825930353,-0.5843534786478819
Aristotelia serrata,-0.1746987144141199,-0.0818708717069699,-0.4351380629518152,0.2135933991785538,-0.2349661161528945,-0.5108509719019306,-0.1414092186926454,0.0676890457294334,0.5170220872649492,-0.2202437904869462,-0.1417990546387135,0.6281115419052329,0.3689374071372888,-0.3446081268478797
Beilschmiedia tawa,0.1439855140973978,-0.0086553789343328,-0.1091109450915534,0.1061267800247665,-0.1922117312103466,0.1708214229533781,0.2441936316763883,-0.0906426790734634,0.0643442729623218,0.0149963503198212,0.0497949187749971,-0.1521860971267909,0.0164527410811927,-0.087639389447214
Brachyglottis repanda,-0.0306343306595145,-0.0556494343825606,0.3533895930794413,-0.196401445201195,0.1231376531060626,-0.1355887736902284,-0.4295297954789133,0.1821694526589278,-0.2892088199792766,0.1415905121286704,0.5570099448020723,0.0658771066125051,0.0419083410367222,0.064357433577307
Carpodetus serratus,0.0899214802318517,0.1087648852294001,-0.2804164210601473,0.2548658371260722,-0.1617619064382888,-0.3927421757845952,0.2022274197867221,-0.0924737901258995,0.504396933590294,0.0994590543749558,-0.4760107372616986,0.4111173195495467,0.1501742553205226,-0.3490964321224326
Coprosma autumnalis,0.1758469378130659,-0.121601741463827,-0.5170120742344964,0.1388146067745123,-0.2500322752871481,-0.3727840173846875,-0.0806706319789321,0.081187578500633,0.3704157896496234,-0.5644140843476894,-0.338618810818468,0.4433175436118206,0.2151642556799234,-0.4297320643404625
Coprosma ciliata,0.0759950626581316,-0.0940063095171539,-0.1694973447117979,0.4229746509019148,-0.0284925927238826,0.0515478808109583,-0.0041209425669024,0.0593180807274845,-0.1448305050237621,-0.5173249996425229,0.2061914422653522,0.0733608107428421,-0.2378685133837896,-0.0801984501257028
Coprosma dumosa,0.0819304681993357,0.0287755612942652,-0.0891762307149328,0.2201544128050771,-0.2727861255533296,-0.3161669384717103,-0.2760789014916225,0.0430981839694061,0.2526054065702844,0.172365350027306,-0.2004883379470345,0.3400636648689594,0.3636636999622588,-0.1708863868133892
Coprosma foetidissima,-0.081287282417925,-0.0917469800653904,0.2093424827472391,0.1777555450370618,0.098143631225755,-0.0707581798441089,0.1978221758163536,-0.1465201868764759,0.0614997777713095,0.4096852180215514,-0.2051424640438207,0.1220663491897274,-0.0232899968892999,-0.1518898722146052
Coprosma linariifolia,-0.07600585290505,0.0184041598826176,-0.7453531826334836,0.332218249894908,-0.325438945239636,-0.5032921620734938,0.2326912129863737,0.009524564209501,0.7045549868689251,-0.3759485836212961,-0.4068261080218731,0.5898577937653923,0.2048836013588386,-0.5350548621048044
Coprosma lucida,-0.1284426207246893,-0.0473093734157895,0.1873355986182418,0.0297745949355809,0.1710710719508144,0.3418360069932081,0.0356036354109826,-0.0198264744332289,-0.4670294441440232,-0.2533461248843393,0.5776063697190946,-0.3211176132067219,-0.4529156043611763,0.0730002240770226
Coprosma parviflora,0.1059129706889747,0.0242278425950919,0.2282276635297559,-0.4940360880871754,0.6098433466516491,0.3890889221521414,0.2496500893341803,-0.2490230965327221,-0.4042141108678952,-0.1643927622884958,0.2487534818016362,-0.348301188693238,-0.5048995727524414,0.4560640870672491
Coprosma propinqua,0.1341068267286621,0.1879370873263144,-0.199085691484974,-0.3504961977037824,0.0911063597857371,-0.067240098607941,0.1529570410973774,0.0075906124374107,0.2210586109578278,-0.1243266373786336,0.419181665085852,0.0070531324869926,0.1426960770572346,0.2737680292270941
Coprosma pseudocuneata,0.1170117077916797,-0.1089644070555248,0.254241589344129,-0.1040116174913716,0.0201348031454948,0.2172677668817429,0.2471198972514408,0.0543680070986953,-0.142447921244492,0.2432771335505626,0.0435881399163796,-0.020601854774611,-0.1108473281665346,0.1557271851818323
Coprosma robusta,-0.0081963033348057,-0.1521333125693166,-0.6791762306877294,-0.1702271101418448,-0.0705186694385282,-0.0933546685217579,0.3452903819726523,-0.0695358895492987,0.3398986972679003,-0.7484369008516563,-0.1913467709091,0.1518640889264864,0.1157967224520591,-0.0703590242886389
Coprosma rotundifolia,-0.1179917636930514,0.2420641868877271,-0.5600544520494315,0.1852797787924549,-0.3268993218352146,-0.4328602926257613,0.1239749116681595,-0.1792747965906696,0.6317779070699856,-0.1897611997687031,-0.3436678537126451,0.4992504089773927,0.3065563149163227,-0.3492278246096162
Coprosma tenuifolia,0.1734342485939874,0.041235252144742,-0.3876117536414535,0.1897292566444474,-0.2934787210730252,-0.3821145017762203,-0.1573405548120778,0.359754448361021,0.3223682393179523,-0.3254690755506566,-0.265877215531288,0.3433996052309728,0.2958392816573323,-0.5789093619192132
Cyathea cunninghamii,-0.0044667822705108,-0.0757578609629299,0.0406515856499441,-0.2399640011116047,0.151045852958894,0.4557212795764266,0.4918137271990117,-0.2082364859094253,-0.0959602351793999,0.0482357606728238,-0.0066083442336053,-0.3684947482962223,-0.1463647811079231,0.5054657042580009
Cyathea dealbata,0.0639126964245248,-0.0181174455536205,0.4816067624046691,-0.5588413127509375,0.4929602692501149,0.4434928455158594,0.0976930729604795,0.0200907941684872,-0.4621835245334669,0.2612799749365642,0.2891301780631149,-0.3654426365109782,-0.2584972087457713,0.7073871184756086
Cyathea medullaris,-0.110018855707146,-0.0843284268590753,-0.1557384586390833,0.2943587155591419,-0.2057617264802387,-0.3239336083544933,-0.1876035784525962,-0.0118137418667011,0.0218298104853194,-0.2434800523680884,-0.0654592924650499,0.0225052066761227,0.0615310599874248,0.0208974452170182
Cyathea smithii,-0.0115119882642792,-0.0353897796037259,-0.6733892823194101,0.1321405882933873,-0.3081481555589307,-0.4104618987639533,-0.0487206401892001,0.1286674456958854,0.5602156182047405,-0.4948782031317666,-0.3783904752202667,0.3436466080478912,0.4503289808710803,-0.3121612779263278
Dacrydium cupressinum,-0.1126660809926672,-0.0437535745520451,0.0147694871402853,-0.0513435627349078,0.033846318850193,0.0840327766781532,0.1719662254853125,-0.046507256646519,-0.0355063286893116,-0.0122643199677224,-0.0543205037255899,0.0071303764540961,-0.1475259082754579,0.0305012222332374
Dicksonia squarrosa,0.0103839649979196,-0.0544094413530646,-0.6155914051210221,0.1928939688137508,-0.3335579147966137,-0.5783398940281582,-0.1002497939766926,0.0795092652123149,0.6592562411561779,-0.2753223701628345,-0.4371393848823345,0.4652915030360324,0.3480713207772283,-0.3457586144902614
