Species,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15
Pseudopanax crassifolius,0.08519359918904336,0.04193915464816415,0.05448860065209342,0.08074104503590634,0.14934666471463895,0.08129149724653832,0.07852465988015561,0.10231748056303017,0.07397446678189883,0.05069394271631135,0.06403021148706206,0.0027126042170082776,0.09376375668569396,0.040982316182455146
Neomyrtus pedunculata,0.05153032849454673,0.05130033960644693,0.043387501492871905,0.08132465706692647,0.15146011182863434,0.15407814058389524,0.04569235072279657,0.04571979160056844,0.05715778690524479,0.12001624753908424,0.06326955338847118,0.003676089942899542,0.07482748441091074,0.05655961641670293
Metrosideros fulgens,0.025504301198654926,0.03224370070860792,0.035571009400278075,0.11541846310859517,0.0923800042241027,0.10415120413245321,0.09380199685111931,0.05403376688280529,0.053053564253081054,0.056512570727226645,0.1613791648313802,0.0038192297867178145,0.1304180372164142,0.041712986678563345
Piper excelsum,0.0682815711660535,0.05955345190987643,0.05493343026935639,0.07266457193924016,0.08190200721239457,0.060139650350909166,0.12780688445713775,0.06569051303898946,0.11139784333592936,0.08524943901037348,0.049255149078224314,0.02994060872049958,0.06664399354563852,0.0665408859653773
Coprosma dumosa,0.04569223873050807,0.05845398738782695,0.056286678444964454,0.07730500241853981,0.06770969848201423,0.15289800963827152,0.05543458337861863,0.04767560714971566,0.07542111940377727,0.05981271157855976,0.0921112535592114,0.011364939971613352,0.10323743872147235,0.09659673113490652
Fuscospora solandri,0.04472050811402413,0.04226906821888027,0.04544908103068085,0.09272423831415183,0.11959587257093207,0.04119672762234373,0.05965043694714843,0.09059205926578268,0.09687344316155723,0.03695519772630523,0.17780754053586292,0.0,0.10003538424927397,0.05213044224305664
Coprosma pseudocuneata,0.05162336490565733,0.06972357832318707,0.07807999601897167,0.07514783957255323,0.08304307895776739,0.07574458286512756,0.0605561913635059,0.06457562483815031,0.08320984535290288,0.05754678329185204,0.06535459009621086,0.0,0.07988632245655075,0.1555082019575631
Cyathea smithii,0.06960063928384747,0.06904489570395754,0.056925985740894886,0.09459763511770622,0.08989289191676539,0.058272233387792735,0.043327631769279056,0.0610275311340896,0.10451406040773074,0.0955587388923317,0.07416031800427217,0.013064128472136411,0.10188266259577192,0.06813064757342421
Lophozonia menziesii,0.051917441352933524,0.05345453496447456,0.07251356424514167,0.05880825822123534,0.13825254173949117,0.09616941917736899,0.036020077884259594,0.09787720373898605,0.1293634197322553,0.0652381840096786,0.06325520993221186,0.0037346080608283774,0.06397203241036063,0.06942350453077448
Raukaua simplex,0.08722991688454464,0.06841527771939282,0.06199412932389767,0.12216237267395921,0.20012683909034235,0.08396896138546606,0.09234002876098643,0.04327721453889512,0.052069398965373326,0.040695733287202024,0.05200104817294572,0.003909584589541209,0.045439151047048175,0.04637034356040514
