Species,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15
Coprosma pseudocuneata,0.05473331454138129,0.0684221208587075,0.06089099767028128,0.08130285806130762,0.10168183729164043,0.064245765332385,0.05585939096572612,0.08201917458825242,0.09816078410471478,0.05350422681199842,0.07532975281544593,0.0,0.0708353483040603,0.13301442865409893
Pterophylla racemosa,0.05137250944249444,0.06917355218192729,0.047490347600827904,0.0738297405152967,0.11783107466463548,0.11637048917636166,0.05719052534212701,0.05127861435106973,0.09839270647080112,0.051535927995184604,0.07322649248970797,0.013177566922583496,0.09862746974722938,0.0805029830997533
Coprosma dumosa,0.04980666161806165,0.06627086517926425,0.054867826330961586,0.08314763845619796,0.06523910223989213,0.12828072961893952,0.07837008480627583,0.0642029082651937,0.0675351212289704,0.06539891750997306,0.05942199579248194,0.005791896926192639,0.12036766454290099,0.09129858748469441
Phyllocladus alpinus,0.0723596922052765,0.06039857208512195,0.0591969169993737,0.05988745067032097,0.11864627390464857,0.07813514674973798,0.07136632754361714,0.10241708448825544,0.08952848049545983,0.06725751700193652,0.06811603629252481,0.002945688295616362,0.07400494582529721,0.07573986744281305
Coprosma rotundifolia,0.07029649012596584,0.09734144130379263,0.07482540476102831,0.12113478458970818,0.08531284541795983,0.07313567590793188,0.09192535288267087,0.05248432639885729,0.08963410947818551,0.05129397993032724,0.07242322835555132,0.012953181591634994,0.048058977835882005,0.05918020142050421
Halocarpus biformis,0.13279432882195222,0.0667743590026289,0.10081291591990078,0.06968478920075537,0.05049671142462559,0.09447788593007311,0.05038820250932567,0.06457032883858774,0.052311910607750534,0.056152154980179864,0.12729492295220793,0.006677922545288799,0.06339957537641874,0.06416399189030474
Quintinia acutifolia,0.13595681248007097,0.028644343463824037,0.03311210496957101,0.06388490639208787,0.10704920166288893,0.108161352780148,0.046479305481902225,0.07084443989315035,0.07461087979009767,0.03129015762179488,0.0600089406282703,0.00020821037988424067,0.05814888092862669,0.18160046352768283
Litsea calicaris,0.09800739529558966,0.1342637971402173,0.05265784865709787,0.059427772241258406,0.05828935739794788,0.06818108629538014,0.05285915327352218,0.08497332557747124,0.06689456405964571,0.0650577733708813,0.08029463527598302,0.006829036605039966,0.07897332195039716,0.09329093285956813
Rhopalostylis sapida,0.05573931665816631,0.10765572580369405,0.07599784165782089,0.06240112339691789,0.13811529864024963,0.07546413895844514,0.032357908754906385,0.07961329649082345,0.081831204176897,0.04872610380014898,0.06958160449409342,0.008922257658126148,0.07168224416731736,0.09191193534239328
Quintinia serrata,0.05989022698234692,0.04749929978051365,0.05186389183984355,0.09417141357993329,0.08368280015887579,0.0895309106818351,0.052239335136858994,0.0930867024257004,0.07680566001837191,0.060627845872872246,0.0995439717201008,0.005908063220236914,0.09714470495982346,0.08800517362268695
