Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Abies koreana,Pinaceae,Abies,Exotic,Vascular,Unclassified,Tree,Korean fir;,Not threatened (assumed),1,1,0.0000,0.0000
Abrotanella caespitosa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,102,107,0.0002,0.0002
Abrotanella fertilis,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,1,1,0.0000,0.0000
Abrotanella inconspicua,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,54,60,0.0000,0.0000
Abrotanella linearis,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,67,87,0.0000,0.0000
Abrotanella muscosa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella patearoa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella pusilla,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,6,9,0.0000,0.0000
Abrotanella rostrata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,1,2,0.0000,0.0000
Abrotanella rosulata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella spathulata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Acacia baileyana,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Bailey's wattle; Cootamundra wattle; Golden wattle;,Not threatened (assumed),1,1,0.0000,0.0000
Acacia dealbata,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Mimosa; Silver wattle;,Not threatened (assumed),9,10,0.0002,0.0001
Acacia decurrens,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Early black wattle; green wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia elata,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,cedar wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia longifolia,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Sydney golden wattle;,Not threatened (assumed),4,6,0.0000,0.0000
Acacia longifolia subsp. sophorae,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,coastal wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia mearnsii,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Black wattle;,Not threatened (assumed),10,12,0.0000,0.0000
Acacia melanoxylon,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Blackwood; Tasmanian blackwood;,Not threatened (assumed),6,7,0.0000,0.0000
Acacia paradoxa,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Shrub,Kangaroo acacia; Kangaroo thorn; Prickly acacia; Prickly wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acaena agnipila,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,Australian sheep's bur; Sheep's bur;,Not threatened (assumed),96,109,0.0000,0.0000
Acaena agnipila var. aequispina,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,Sheep's bur;,Not threatened (assumed),0,0,0.0000,0.0000
Acaena agnipila var. tenuispica,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Acaena alpine,Rosaceae,Acaena,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Acaena anserinifolia,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,bidibid; Huruhuru-o-hine-nui-te-p?; Hutiwai; Kai?; Kai?rurerure; Kaikai?; Kaikai?rure; Pirikahu; piripiri; Piriwhetau;,Not Threatened,547,711,0.0000,0.0003
Acaena anserinifolia x inermis,,,Indigenous Endemic,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena anserinifolia x novae-zelandiae,,,Indigenous Unspecified,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena buchananii,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,14,14,0.0000,0.0000
Acaena caesiiglauca,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,bidibid; Glaucus bidibid;,Not Threatened,610,675,0.0000,0.0003
Acaena dumicola,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,26,36,0.0000,0.0000
Acaena emittens,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,5,5,0.0000,0.0000
