Species,Type,WindExposition,Slope,Ruggedness,Roughness,Elevation,pH,Longitude,Latitude,Drainage,DistanceToTheCoast,DistanceToNearestRiver,CalciumContent,Aspect Eastness,Aspect Northness,DistanceToTheRoad,Possum,RedDeer,Rats,BIOEnd1,BIOEnd2,BIOEnd3,BIOEnd4,BIOEnd5,BIOEnd6,BIOEnd7,BIOEnd8,BIOEnd9,BIOEnd10,BIOEnd11,BIOEnd12,BIOEnd13,BIOEnd14,BIOEnd15,BIOEnd16,BIOEnd17,BIOEnd18,BIOEnd19,Model
Coprosma pseudocuneata,D,1.0576,19.7128,30.1031,97.8042,695.2214,4.7564,170.3109,-43.7068,4.1739,34008.3125,1420.2588,1.3388,-0.0326,-0.0282,11960.2715,0.9481,-0.7796,-0.9931,9.2338,7.5976,0.4142,3.4521,19.3501,1.0317,18.3184,9.2398,9.2580,13.6717,4.8498,3088.1750,460.0292,114.4237,39.1674,1047.3616,529.8848,778.9266,700.4235,RFEnsemble
Coprosma pseudocuneata,Is,0.1112,9.9965,16.7698,55.0463,388.6826,0.5002,2.7257,2.2968,0.6178,25287.4219,1035.6523,0.5554,0.7213,0.6926,5907.8003,0.2808,0.7512,0.0085,2.3732,1.4226,0.0381,0.3171,2.4771,2.2972,2.0449,2.0786,3.0819,2.2341,2.5982,1038.5930,136.1123,53.0526,8.6788,326.1073,204.5324,254.0492,227.7489,RFEnsemble
Coprosma pseudocuneata,Ds,0.1208,9.9866,17.0058,56.5177,326.8021,0.3507,3.5277,2.6843,0.9009,28620.3906,1054.6085,0.5237,0.7140,0.6988,12149.1006,0.3180,0.6263,0.1171,0.8862,1.2374,0.0384,0.2646,1.1193,1.1656,1.7431,1.5359,1.7010,0.7834,1.0609,1970.0837,292.4509,78.3203,5.8674,672.0605,346.8489,550.1358,383.2702,RFEnsemble
Coprosma pseudocuneata,I,1.0431,16.2351,25.8935,82.6102,621.1682,5.0978,173.3746,-41.3648,4.6938,43923.5977,1405.8220,1.3528,-0.0092,-0.0051,3951.1580,0.9599,-0.6601,-1.0001,10.9413,9.0042,0.4390,3.6607,22.0242,1.5542,20.4700,9.9546,12.5450,15.6621,6.2911,1917.2369,291.9183,68.3092,42.5417,655.5797,315.7728,419.1212,502.4606,RFEnsemble
Coprosma pseudocuneata,Gr,-0.0144,-3.4777,-4.2096,-15.1940,-74.0532,0.3414,3.0636,2.3419,0.5199,9915.2852,-14.4368,0.0140,0.0234,0.0231,-8009.1133,0.0118,0.1195,-0.0070,1.7074,1.4066,0.0248,0.2086,2.6742,0.5225,2.1516,0.7148,3.2870,1.9903,1.4412,-1170.9381,-168.1109,-46.1144,3.3742,-391.7819,-214.1120,-359.8054,-197.9629,RFEnsemble
Pterophylla racemosa,D,1.0087,10.1166,16.3978,51.6623,322.6337,5.2828,174.3591,-40.0922,4.4749,31534.3262,1493.3899,1.4766,-0.0962,0.0518,1725.8604,0.9921,-0.2484,-0.9994,12.8534,9.1054,0.4585,3.4363,23.4395,3.5787,19.8605,11.5551,14.7118,17.2976,8.5121,1630.4120,261.1365,49.0961,45.7750,578.8791,248.2497,345.0568,459.4356,RFEnsemble
Pterophylla racemosa,Is,0.1189,9.9960,17.7002,58.6527,374.7874,0.4450,3.3219,2.5765,0.8863,25616.2539,1068.7289,0.5509,0.7209,0.6916,11365.2412,0.1965,0.5313,0.0884,2.1206,1.2810,0.0335,0.3425,2.0627,2.3032,2.1131,2.1394,2.8652,1.9566,2.3657,1620.9067,222.5155,78.6580,8.3579,524.2161,310.9197,442.6983,314.4344,RFEnsemble
Pterophylla racemosa,Ds,0.1023,7.6188,12.4232,39.7715,210.7026,0.4073,2.4211,2.6570,0.8813,23084.6953,1519.7058,0.6130,0.7002,0.7055,2738.8545,0.1261,0.9687,0.0364,1.5939,1.1707,0.0228,0.3036,1.6095,1.9677,1.9807,1.4613,2.0914,1.5173,1.8165,569.9511,83.9575,23.5493,6.8896,189.2139,101.6465,135.7277,141.5947,RFEnsemble
Pterophylla racemosa,I,1.0577,22.6610,35.4251,114.4865,753.7774,4.6319,171.5108,-42.5453,4.3866,32508.1094,1440.3285,1.3493,0.0432,-0.0076,10302.7100,0.9805,-0.8472,-0.9961,9.7261,7.9167,0.4168,3.5283,20.0960,1.1165,18.9794,9.2468,10.5750,14.2845,5.2553,3137.7134,455.6137,123.8801,38.2021,1046.8943,548.3399,738.8260,745.3241,RFEnsemble
Pterophylla racemosa,Gr,0.0490,12.5444,19.0273,62.8242,431.1437,-0.6508,-2.8483,-2.4531,-0.0883,973.7832,-53.0614,-0.1273,0.1395,-0.0594,8576.8496,-0.0116,-0.5988,0.0033,-3.1274,-1.1886,-0.0417,0.0920,-3.3435,-2.4622,-0.8811,-2.3084,-4.1369,-3.0130,-3.2569,1507.3014,194.4772,74.7840,-7.5729,468.0152,300.0902,393.7693,285.8885,RFEnsemble
Coprosma dumosa,D,0.9329,4.6464,7.6726,24.5193,296.2152,5.2176,173.2022,-41.4898,4.3056,38657.6523,1162.4648,1.5167,-0.1368,0.0246,1027.0033,0.9795,-0.1878,-1.0000,12.2315,10.1882,0.4678,3.7210,23.6600,1.8293,21.8307,11.2951,13.7460,16.9825,7.4483,1667.0028,276.3816,45.9524,49.4298,594.8021,252.3131,366.4937,439.7178,RFEnsemble
Coprosma dumosa,Is,0.1103,9.6920,15.9261,52.4062,403.9437,0.4950,3.0516,2.9751,0.8017,26584.2383,1180.3470,0.5969,0.7253,0.6871,5657.3022,0.2558,0.9186,0.0001,2.5198,1.3146,0.0366,0.3628,2.3728,2.6513,2.0314,2.1870,3.4963,2.3111,2.8447,1255.1189,172.6162,58.2267,8.6926,405.9059,236.3316,317.0390,273.1738,RFEnsemble
Coprosma dumosa,Ds,0.0826,7.5934,12.1274,38.7813,268.7992,0.5233,2.7572,2.4370,1.2669,26301.0664,1149.5511,0.6441,0.6806,0.7193,1811.9633,0.2013,0.9822,0.0000,1.6207,0.9516,0.0197,0.3148,1.5512,1.8206,1.7349,1.6128,2.0817,1.5139,1.8517,704.0235,105.5359,26.4211,8.8523,235.2291,124.0021,167.7092,165.7766,RFEnsemble
Coprosma dumosa,I,1.0494,15.4173,24.3686,77.9303,558.9355,5.1399,172.6153,-41.9239,4.4356,35502.8516,1481.1381,1.4492,0.0360,-0.0232,4149.0879,0.9666,-0.3950,-0.9999,11.0166,8.5916,0.4383,3.5230,21.6397,2.0399,19.6000,10.3337,12.0981,15.5498,6.5353,1936.5367,293.6056,69.9469,42.2684,663.0092,320.9703,436.5462,498.6748,RFEnsemble
Coprosma dumosa,Gr,0.1165,10.7710,16.6961,53.4110,262.7202,-0.0776,-0.5869,-0.4341,0.1300,-3154.8008,318.6732,-0.0675,0.1728,-0.0478,3122.0845,-0.0129,-0.2071,0.0001,-1.2149,-1.5966,-0.0295,-0.1980,-2.0203,0.2105,-2.2307,-0.9613,-1.6479,-1.4327,-0.9130,269.5339,17.2239,23.9945,-7.1615,68.2071,68.6572,70.0525,58.9570,RFEnsemble
Phyllocladus alpinus,D,1.0492,10.2199,15.7227,50.5301,674.5727,5.3093,171.4275,-43.3411,4.4320,69197.1484,1774.1233,1.5423,0.0343,-0.0163,2317.0144,0.9802,-0.2064,-1.0000,9.7628,9.2028,0.4379,3.7914,21.2420,0.2285,21.0136,9.7474,10.1380,14.5969,4.8868,1344.9000,201.2026,50.2537,40.3932,453.8294,227.4708,316.5544,340.0944,RFEnsemble
Phyllocladus alpinus,Is,0.1128,10.3196,17.2286,56.5449,341.3592,0.4905,3.0767,2.5585,0.8647,21784.3379,985.2585,0.5869,0.7228,0.6911,7961.6328,0.2472,0.7691,0.0591,1.9592,1.3172,0.0330,0.3342,2.0965,2.0546,2.0825,1.7600,2.8064,1.8561,2.1759,1286.2081,178.0368,60.4831,7.8661,416.9377,244.9356,345.9532,256.9211,RFEnsemble
Phyllocladus alpinus,Ds,0.1049,8.8986,13.6519,44.4686,413.1418,0.4286,2.9803,2.8410,0.7976,30126.4707,1108.0712,0.5654,0.7209,0.6920,3023.6892,0.1983,0.9785,0.0000,2.1557,1.3363,0.0418,0.3412,2.3291,1.9018,1.8030,2.1888,2.9139,2.0460,2.3696,761.1392,102.0894,36.3955,9.1574,243.5944,142.7580,166.6146,193.0836,RFEnsemble
Phyllocladus alpinus,I,1.0256,16.8392,26.7808,85.6491,523.6000,4.9457,172.8353,-41.6232,4.5028,31928.6680,1189.5640,1.3910,-0.0058,-0.0029,5404.4438,0.9690,-0.6391,-0.9983,11.2343,8.7128,0.4415,3.5124,21.8446,2.1206,19.7239,10.3095,12.6610,15.7639,6.7744,2311.7009,351.4160,81.4326,42.2363,791.2871,382.0423,520.0585,587.6212,RFEnsemble
Phyllocladus alpinus,Gr,-0.0236,6.6194,11.0581,35.1190,-150.9727,-0.3635,1.4078,1.7180,0.0708,-37268.4805,-584.5593,-0.1513,-0.0401,0.0135,3087.4294,-0.0111,-0.4327,0.0017,1.4715,-0.4900,0.0035,-0.2790,0.6026,1.8921,-1.2898,0.5620,2.5231,1.1670,1.8876,966.8009,150.2134,31.1789,1.8431,337.4577,154.5715,203.5041,247.5268,RFEnsemble
Coprosma rotundifolia,D,0.9680,6.3799,10.4777,33.2659,92.0785,5.1774,172.2920,-40.2520,3.5922,4429.2197,2129.3181,1.3290,-0.0768,0.0201,4920.8408,0.9676,0.1768,-1.0000,13.9910,8.0717,0.4591,3.0159,23.0822,5.4946,17.5875,13.2481,15.1100,17.8979,10.1949,2202.4119,348.5520,68.5554,46.2042,778.1307,348.8788,512.0450,566.1273,RFEnsemble
Coprosma rotundifolia,Is,0.1088,10.2676,16.6120,54.1613,345.1945,0.5112,3.0404,2.7212,0.8557,25216.3242,1102.8737,0.6248,0.7233,0.6894,5549.3643,0.1931,0.9326,0.0000,2.1096,1.4374,0.0347,0.3419,2.2609,2.1640,2.1764,1.8513,3.0907,2.0116,2.3380,1111.1178,151.3346,52.1507,9.5851,358.1604,209.7507,276.1674,248.7846,RFEnsemble
Coprosma rotundifolia,Ds,0.0982,6.4402,10.3771,33.1378,81.5972,0.4600,2.8615,4.0177,1.3501,4970.3555,2148.8679,0.6239,0.6754,0.7332,11651.2129,0.2527,0.9842,0.0000,2.0306,1.0333,0.0248,0.2034,2.1507,2.3657,1.5356,1.3152,3.2325,2.0783,2.1326,1263.7715,184.2992,51.7403,8.2871,416.1924,233.1411,359.8823,227.7434,RFEnsemble
Coprosma rotundifolia,I,1.0239,13.4249,21.2504,67.9072,543.6448,5.1940,172.8811,-41.9161,4.4691,43716.0703,1365.6639,1.5196,0.0207,-0.0352,3469.2729,0.9812,-0.3615,-1.0000,11.0521,9.3007,0.4469,3.6830,22.2656,1.4824,20.7832,10.3592,12.1930,15.7740,6.3442,1709.8737,266.1641,58.3589,44.8599,592.4338,276.3837,383.3015,444.3991,RFEnsemble
Coprosma rotundifolia,Gr,0.0559,7.0449,10.7727,34.6413,451.5663,0.0166,0.5891,-1.6640,0.8769,39286.8516,-763.6542,0.1906,0.0976,-0.0553,-1451.5679,0.0136,-0.5383,-0.0000,-2.9390,1.2289,-0.0122,0.6671,-0.8166,-4.0122,3.1957,-2.8890,-2.9170,-2.1239,-3.8507,-492.5382,-82.3879,-10.1965,-1.3443,-185.6968,-72.4951,-128.7435,-121.7282,RFEnsemble
Halocarpus biformis,D,1.0042,9.4254,14.9633,46.6683,382.0498,5.2310,173.0870,-41.7577,4.4534,36385.6914,1454.7612,1.3748,0.0589,0.2308,2010.7018,0.9938,-0.4527,-1.0000,11.7451,9.2566,0.4606,3.4872,22.5251,2.3739,20.1514,10.8433,13.1422,16.2245,7.3023,1621.2516,255.9448,50.8222,44.1184,567.0798,254.4892,356.9626,434.8490,RFEnsemble
Halocarpus biformis,Is,0.1164,9.7155,17.6724,58.6528,405.3529,0.4378,2.9314,2.2241,0.8412,28158.8418,1059.6272,0.5122,0.6920,0.6995,11213.5156,0.3977,0.5525,0.0800,1.9247,1.4351,0.0399,0.3623,2.0067,2.0523,2.2455,2.0915,2.5929,1.7565,2.1807,1623.8468,228.1280,74.4113,7.1837,533.9002,302.8192,437.1788,327.4482,RFEnsemble
Halocarpus biformis,Ds,0.1002,6.9570,10.9865,34.3329,248.1912,0.4349,3.0679,2.8761,0.9468,24875.4512,1076.7892,0.5744,0.7416,0.6271,3149.6614,0.1112,0.8917,0.0025,1.4875,0.9066,0.0185,0.3154,1.4794,1.7931,1.7304,1.2549,2.4294,1.4396,1.7249,677.2217,104.0447,24.2308,6.5884,231.6136,115.4764,164.7608,165.8343,RFEnsemble
