Species,Type,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15,Model
Coprosma pseudocuneata,D,1281.5027,-0.1825,0.0872,726.9576,-42.8878,2429.1987,17.3615,4.8766,9.6185,1.0579,0.4201,-0.7719,19.2688,42.0384,RFEnsemble
Coprosma pseudocuneata,Is,1048.9635,0.7163,0.6918,395.2660,2.2534,1196.5038,10.1347,0.5200,2.4123,0.1127,0.0419,0.7485,2.1065,9.0380,RFEnsemble
Coprosma pseudocuneata,Ds,1007.9300,0.7004,0.6845,317.3926,2.9398,1580.6276,10.2774,0.3951,1.3358,0.1213,0.0338,0.6358,2.1042,7.6029,RFEnsemble
Coprosma pseudocuneata,I,1453.0940,0.0518,-0.0752,599.3333,-41.5103,2014.1055,16.7959,5.0853,10.9677,1.0365,0.4405,-0.6631,20.4682,41.9719,RFEnsemble
Coprosma pseudocuneata,Gr,171.5913,0.2343,-0.1624,-127.6244,1.3775,-415.0933,-0.5655,0.2088,1.3492,-0.0214,0.0204,0.1088,1.1994,-0.0666,RFEnsemble
Pterophylla racemosa,D,1447.8092,-0.1128,0.0383,314.5990,-39.7739,1656.4769,9.7466,5.2923,13.0549,1.0048,0.4590,-0.2595,19.8267,46.5910,RFEnsemble
Pterophylla racemosa,Is,1104.9550,0.7005,0.7016,336.7415,2.2741,1644.8348,9.4841,0.3459,1.4026,0.1173,0.0333,0.5157,2.2165,6.9944,RFEnsemble
Pterophylla racemosa,Ds,1481.4304,0.7046,0.6995,228.7732,2.4958,630.3458,7.6482,0.4050,1.7198,0.1023,0.0229,0.9659,1.9884,7.2456,RFEnsemble
Pterophylla racemosa,I,1497.8073,0.1305,-0.0049,797.9066,-43.3283,3345.1140,24.5804,4.5227,9.1471,1.0611,0.4092,-0.8567,18.7988,36.4693,RFEnsemble
Pterophylla racemosa,Gr,49.9980,0.2433,-0.0431,483.3075,-3.5543,1688.6371,14.8338,-0.7695,-3.9078,0.0563,-0.0498,-0.5972,-1.0279,-10.1216,RFEnsemble
Coprosma dumosa,D,1310.7063,-0.1050,-0.1094,134.9280,-42.7107,1356.7439,2.4929,5.4549,12.5269,0.9202,0.4733,0.3436,20.4800,49.7830,RFEnsemble
Coprosma dumosa,Is,1155.3004,0.7196,0.6922,379.7051,2.9217,1156.9220,9.3981,0.4767,2.4437,0.1110,0.0356,0.9300,2.0938,8.8793,RFEnsemble
Coprosma dumosa,Ds,1372.6288,0.6939,0.7039,248.1177,2.8914,780.3065,7.3146,0.4796,1.7269,0.0619,0.0197,0.9391,1.9614,9.1377,RFEnsemble
Coprosma dumosa,I,1437.1556,0.0489,-0.0237,524.1273,-41.4837,1880.6549,14.0807,5.1754,11.3541,1.0399,0.4427,-0.3679,19.8842,43.3878,RFEnsemble
Coprosma dumosa,Gr,126.4493,0.1539,0.0857,389.1993,1.2270,523.9110,11.5878,-0.2795,-1.1727,0.1196,-0.0305,-0.7115,-0.5958,-6.3952,RFEnsemble
Phyllocladus alpinus,D,2420.0664,0.0246,0.1509,563.6121,-41.4660,1577.1335,7.0569,5.2378,10.8330,1.0765,0.4459,-0.1598,20.1750,39.9380,RFEnsemble
Phyllocladus alpinus,Is,1007.4520,0.7280,0.6848,386.8786,2.4829,1298.8267,10.6046,0.5224,2.0670,0.1147,0.0363,0.8431,2.1242,8.7331,RFEnsemble
Phyllocladus alpinus,Ds,964.5998,0.6807,0.7164,307.5172,3.5257,578.2575,6.2614,0.3754,2.2258,0.0819,0.0317,0.9871,1.7111,6.4805,RFEnsemble
Phyllocladus alpinus,I,1231.6123,-0.0009,-0.0324,549.0146,-42.3256,2019.0502,15.5107,5.0831,10.8714,1.0207,0.4432,-0.5377,20.1909,43.2470,RFEnsemble
Phyllocladus alpinus,Gr,-1188.4541,-0.0255,-0.1834,-14.5975,-0.8596,441.9166,8.4538,-0.1546,0.0385,-0.0558,-0.0026,-0.3779,0.0159,3.3091,RFEnsemble
Coprosma rotundifolia,D,2110.3640,0.0675,-0.3497,112.4658,-40.6352,1507.4111,4.4990,5.4607,13.7324,0.9626,0.4697,0.2440,19.5493,50.1767,RFEnsemble
Coprosma rotundifolia,Is,1064.1875,0.7672,0.6330,344.7190,2.7839,1237.0685,10.2962,0.5219,2.1457,0.1111,0.0350,0.8911,2.3646,9.3494,RFEnsemble
Coprosma rotundifolia,Ds,2104.3689,0.5345,0.7664,94.1310,3.4084,917.7454,5.3074,0.3733,1.6891,0.0835,0.0214,0.9698,2.1897,8.0951,RFEnsemble
Coprosma rotundifolia,I,1347.4487,-0.0633,0.0821,596.2903,-41.9603,1894.1234,15.3682,5.1006,10.7972,1.0347,0.4397,-0.4537,20.3900,43.3888,RFEnsemble
Coprosma rotundifolia,Gr,-762.9153,-0.1307,0.4318,483.8245,-1.3251,386.7123,10.8692,-0.3601,-2.9351,0.0720,-0.0300,-0.6978,0.8407,-6.7879,RFEnsemble
Halocarpus biformis,D,1603.9132,0.1489,0.2630,300.7506,-42.6119,1622.4243,7.6561,5.2929,11.7036,0.9804,0.4687,-0.3274,20.0723,44.4176,RFEnsemble
Halocarpus biformis,Is,1043.9731,0.7065,0.6846,400.3890,2.5282,1482.2148,9.8103,0.4454,2.1720,0.1125,0.0389,0.6240,2.1738,7.1157,RFEnsemble
Halocarpus biformis,Ds,1047.9783,0.7069,0.6395,232.9471,2.9598,849.3907,6.7986,0.4389,1.3277,0.0893,0.0168,0.9449,1.7450,6.6995,RFEnsemble
Halocarpus biformis,I,1420.4910,-0.0935,-0.1533,815.9078,-42.5940,2616.5012,21.3766,4.8102,9.4722,1.0862,0.4113,-0.7815,19.1542,37.6540,RFEnsemble
Halocarpus biformis,Gr,-183.4222,-0.2423,-0.4163,515.1572,0.0179,994.0769,13.7205,-0.4826,-2.2313,0.1058,-0.0575,-0.4541,-0.9181,-6.7636,RFEnsemble
Quintinia acutifolia,D,1351.4821,-0.0612,0.0769,351.3682,-39.9885,1711.5229,10.7857,5.2783,12.7911,1.0148,0.4573,-0.5177,20.0548,47.5196,RFEnsemble
Quintinia acutifolia,Is,999.8232,0.7250,0.6872,342.1868,1.8136,1562.5621,9.3801,0.3368,1.6229,0.1198,0.0304,0.4085,1.6957,6.9533,RFEnsemble
Quintinia acutifolia,Ds,1028.4651,0.7066,0.7008,212.7404,1.9250,644.4459,7.3758,0.4220,1.3530,0.1036,0.0199,0.8555,1.7348,6.5373,RFEnsemble
Quintinia acutifolia,I,1246.3220,-0.0251,-0.0389,801.4079,-42.5487,3855.0718,24.5847,4.5126,9.5877,1.0509,0.4178,-0.9128,19.5549,34.1941,RFEnsemble
Quintinia acutifolia,Gr,-105.1600,0.0361,-0.1158,450.0397,-2.5602,2143.5488,13.7990,-0.7656,-3.2034,0.0361,-0.0395,-0.3950,-0.5000,-13.3255,RFEnsemble
Litsea calicaris,D,1462.3541,0.7160,0.0828,175.2239,-38.5693,1449.2444,6.2489,5.4682,14.2776,0.9750,0.4684,0.3142,20.0298,49.6526,RFEnsemble
Litsea calicaris,Is,1354.7606,0.6307,0.7448,222.8306,1.6210,437.4819,7.3078,0.3599,1.5083,0.1048,0.0223,0.9039,1.8209,6.9586,RFEnsemble
Litsea calicaris,Ds,1352.8842,0.5665,0.3995,146.6289,1.6649,359.0926,5.8121,0.2218,1.1908,0.0900,0.0209,0.9494,1.8185,6.8154,RFEnsemble
Litsea calicaris,I,1491.8492,-0.2142,-0.0398,383.4401,-39.0690,1683.4938,11.6955,5.2778,13.0478,1.0433,0.4482,-0.4281,19.1439,45.2298,RFEnsemble
Litsea calicaris,Gr,29.4951,-0.9301,-0.1226,208.2162,-0.4997,234.2494,5.4466,-0.1904,-1.2298,0.0683,-0.0201,-0.7422,-0.8858,-4.4227,RFEnsemble
Rhopalostylis sapida,D,1166.5499,0.2586,0.2100,346.9474,-38.1453,1603.6841,10.0468,5.2173,13.6285,1.0315,0.4555,-0.0710,18.7359,47.1825,RFEnsemble
Rhopalostylis sapida,Is,1777.6384,0.7227,0.6375,167.3327,1.4432,413.4939,7.0317,0.2578,1.1619,0.1035,0.0214,0.9994,1.8534,6.8421,RFEnsemble
Rhopalostylis sapida,Ds,1085.6581,0.5186,0.7874,230.1374,2.3501,375.9655,7.4708,0.4072,2.0897,0.1013,0.0286,0.9975,1.9038,6.9715,RFEnsemble
Rhopalostylis sapida,I,1652.2245,-0.2667,-0.0100,202.9643,-38.7868,1573.0765,8.6216,5.4298,14.0965,0.9875,0.4587,0.0353,19.4319,47.1814,RFEnsemble
Rhopalostylis sapida,Gr,485.6746,-0.5253,-0.2200,-143.9830,-0.6415,-30.6075,-1.4253,0.2125,0.4680,-0.0440,0.0033,0.1062,0.6961,-0.0011,RFEnsemble
Quintinia serrata,D,1249.9224,0.0184,-0.0447,356.4940,-39.9595,1636.2811,10.2621,5.2740,12.7125,0.9953,0.4618,-0.4712,20.7982,46.4655,RFEnsemble
Quintinia serrata,Is,1090.0450,0.7016,0.7078,375.7420,3.1012,1334.9590,10.0586,0.4701,2.7736,0.1206,0.0316,0.9652,1.7692,8.4167,RFEnsemble
Quintinia serrata,Ds,993.1907,0.7212,0.6910,188.2783,1.5444,546.3571,7.6275,0.4461,1.2407,0.0848,0.0163,0.8820,1.5400,6.8515,RFEnsemble
Quintinia serrata,I,1453.4585,-0.0667,0.0485,494.9076,-39.5673,2437.6860,15.5279,4.9696,12.3959,1.0630,0.4376,-0.2616,18.4358,42.3222,RFEnsemble
Quintinia serrata,Gr,203.5361,-0.0851,0.0932,138.4135,0.3922,801.4049,5.2658,-0.3043,-0.3166,0.0678,-0.0242,0.2096,-2.3624,-4.1433,RFEnsemble
Olearia rani,D,1402.4585,-0.1671,0.4244,473.7743,-39.7327,1513.6287,9.7287,5.3348,12.1736,1.0302,0.4578,-0.7166,20.7857,46.1267,RFEnsemble
Olearia rani,Is,1690.7639,0.6925,0.6942,250.6770,2.1286,459.3083,8.1943,0.3544,1.8465,0.1128,0.0291,0.9876,2.0015,7.3074,RFEnsemble
Olearia rani,Ds,1034.9955,0.7084,0.5386,193.5875,1.3699,400.2221,6.9464,0.3797,1.0917,0.0939,0.0163,0.6975,1.3233,6.7272,RFEnsemble
Olearia rani,I,1558.9373,0.0001,-0.1962,244.4155,-38.3739,1653.4166,10.6535,5.3072,14.1456,1.0088,0.4537,0.1567,18.6260,46.8075,RFEnsemble
Olearia rani,Gr,156.4788,0.1671,-0.6206,-229.3588,1.3587,139.7880,0.9248,-0.0276,1.9720,-0.0215,-0.0041,0.8732,-2.1598,0.6808,RFEnsemble
Pectinopitys ferruginea,D,981.0357,-0.4204,0.2961,219.2225,-42.4961,3441.9414,12.1071,4.6217,12.1493,0.9758,0.4640,-0.8071,18.5037,42.4106,RFEnsemble
